,return_data.name,evaluate.name,main.name,get_model.group,random_seed.seed,train_BetaVAE.beta,train_BetaVAE.C_max,train_BetaVAE.max_iter,train_BetaVAE.C_stop_iter,train_factorVAE2Stage.gamma,train_DIPVAE.lambda_od,train_BetaTCVAE.beta,Visualizer.name,get_model.nc,train_BetaTCVAE2Stage.beta
0,dsprites_full,,BetaVAE,False,0,10.0,,,,,,,dsprites_full,1.0,
1,dsprites_full,,BetaVAE,False,1,10.0,,,,,,,dsprites_full,1.0,
2,dsprites_full,,BetaVAE,False,2,10.0,,,,,,,dsprites_full,1.0,
3,dsprites_full,,BetaVAE,False,3,10.0,,,,,,,dsprites_full,1.0,
4,dsprites_full,,BetaVAE,False,4,10.0,,,,,,,dsprites_full,1.0,
5,dsprites_full,,BetaVAE,False,5,10.0,,,,,,,dsprites_full,1.0,
6,dsprites_full,,BetaVAE,False,6,10.0,,,,,,,dsprites_full,1.0,
7,dsprites_full,,BetaVAE,False,7,10.0,,,,,,,dsprites_full,1.0,
8,dsprites_full,,BetaVAE,False,8,10.0,,,,,,,dsprites_full,1.0,
9,dsprites_full,,BetaVAE,False,9,10.0,,,,,,,dsprites_full,1.0,
10,dsprites_full,,BetaVAE,True,0,10.0,,,,,,,dsprites_full,1.0,
11,dsprites_full,,BetaVAE,True,1,10.0,,,,,,,dsprites_full,1.0,
12,dsprites_full,,BetaVAE,True,2,10.0,,,,,,,dsprites_full,1.0,
13,dsprites_full,,BetaVAE,True,3,10.0,,,,,,,dsprites_full,1.0,
14,dsprites_full,,BetaVAE,True,4,10.0,,,,,,,dsprites_full,1.0,
15,dsprites_full,,BetaVAE,True,5,10.0,,,,,,,dsprites_full,1.0,
16,dsprites_full,,BetaVAE,True,6,10.0,,,,,,,dsprites_full,1.0,
17,dsprites_full,,BetaVAE,True,7,10.0,,,,,,,dsprites_full,1.0,
18,dsprites_full,,BetaVAE,True,8,10.0,,,,,,,dsprites_full,1.0,
19,dsprites_full,,BetaVAE,True,9,10.0,,,,,,,dsprites_full,1.0,
20,dsprites_full,,BetaVAE,False,0,20.0,,,,,,,dsprites_full,1.0,
21,dsprites_full,,BetaVAE,False,1,20.0,,,,,,,dsprites_full,1.0,
22,dsprites_full,,BetaVAE,False,2,20.0,,,,,,,dsprites_full,1.0,
23,dsprites_full,,BetaVAE,False,3,20.0,,,,,,,dsprites_full,1.0,
24,dsprites_full,,BetaVAE,False,4,20.0,,,,,,,dsprites_full,1.0,
25,dsprites_full,,BetaVAE,False,5,20.0,,,,,,,dsprites_full,1.0,
26,dsprites_full,,BetaVAE,False,6,20.0,,,,,,,dsprites_full,1.0,
27,dsprites_full,,BetaVAE,False,7,20.0,,,,,,,dsprites_full,1.0,
28,dsprites_full,,BetaVAE,False,8,20.0,,,,,,,dsprites_full,1.0,
29,dsprites_full,,BetaVAE,False,9,20.0,,,,,,,dsprites_full,1.0,
30,dsprites_full,,BetaVAE,True,0,20.0,,,,,,,dsprites_full,1.0,
31,dsprites_full,,BetaVAE,True,1,20.0,,,,,,,dsprites_full,1.0,
32,dsprites_full,,BetaVAE,True,2,20.0,,,,,,,dsprites_full,1.0,
33,dsprites_full,,BetaVAE,True,3,20.0,,,,,,,dsprites_full,1.0,
34,dsprites_full,,BetaVAE,True,4,20.0,,,,,,,dsprites_full,1.0,
35,dsprites_full,,BetaVAE,True,5,20.0,,,,,,,dsprites_full,1.0,
36,dsprites_full,,BetaVAE,True,6,20.0,,,,,,,dsprites_full,1.0,
37,dsprites_full,,BetaVAE,True,7,20.0,,,,,,,dsprites_full,1.0,
38,dsprites_full,,BetaVAE,True,8,20.0,,,,,,,dsprites_full,1.0,
39,dsprites_full,,BetaVAE,True,9,20.0,,,,,,,dsprites_full,1.0,
40,dsprites_full,,BetaVAE,False,0,30.0,,,,,,,dsprites_full,1.0,
41,dsprites_full,,BetaVAE,False,1,30.0,,,,,,,dsprites_full,1.0,
42,dsprites_full,,BetaVAE,False,2,30.0,,,,,,,dsprites_full,1.0,
43,dsprites_full,,BetaVAE,False,3,30.0,,,,,,,dsprites_full,1.0,
44,dsprites_full,,BetaVAE,False,4,30.0,,,,,,,dsprites_full,1.0,
45,dsprites_full,,BetaVAE,False,5,30.0,,,,,,,dsprites_full,1.0,
46,dsprites_full,,BetaVAE,False,6,30.0,,,,,,,dsprites_full,1.0,
47,dsprites_full,,BetaVAE,False,7,30.0,,,,,,,dsprites_full,1.0,
48,dsprites_full,,BetaVAE,False,8,30.0,,,,,,,dsprites_full,1.0,
49,dsprites_full,,BetaVAE,False,9,30.0,,,,,,,dsprites_full,1.0,
50,dsprites_full,,BetaVAE,True,0,30.0,,,,,,,dsprites_full,1.0,
51,dsprites_full,,BetaVAE,True,1,30.0,,,,,,,dsprites_full,1.0,
52,dsprites_full,,BetaVAE,True,2,30.0,,,,,,,dsprites_full,1.0,
53,dsprites_full,,BetaVAE,True,3,30.0,,,,,,,dsprites_full,1.0,
54,dsprites_full,,BetaVAE,True,4,30.0,,,,,,,dsprites_full,1.0,
55,dsprites_full,,BetaVAE,True,5,30.0,,,,,,,dsprites_full,1.0,
56,dsprites_full,,BetaVAE,True,6,30.0,,,,,,,dsprites_full,1.0,
57,dsprites_full,,BetaVAE,True,7,30.0,,,,,,,dsprites_full,1.0,
58,dsprites_full,,BetaVAE,True,8,30.0,,,,,,,dsprites_full,1.0,
59,dsprites_full,,BetaVAE,True,9,30.0,,,,,,,dsprites_full,1.0,
60,dsprites_full,,AnnealVAE,False,0,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
61,dsprites_full,,AnnealVAE,False,1,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
62,dsprites_full,,AnnealVAE,False,2,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
63,dsprites_full,,AnnealVAE,False,3,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
64,dsprites_full,,AnnealVAE,False,4,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
65,dsprites_full,,AnnealVAE,False,5,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
66,dsprites_full,,AnnealVAE,False,6,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
67,dsprites_full,,AnnealVAE,False,7,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
68,dsprites_full,,AnnealVAE,False,8,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
69,dsprites_full,,AnnealVAE,False,9,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
70,dsprites_full,,AnnealVAE,True,0,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
71,dsprites_full,,AnnealVAE,True,1,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
72,dsprites_full,,AnnealVAE,True,2,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
73,dsprites_full,,AnnealVAE,True,3,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
74,dsprites_full,,AnnealVAE,True,4,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
75,dsprites_full,,AnnealVAE,True,5,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
76,dsprites_full,,AnnealVAE,True,6,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
77,dsprites_full,,AnnealVAE,True,7,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
78,dsprites_full,,AnnealVAE,True,8,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
79,dsprites_full,,AnnealVAE,True,9,,10.0,30000.0,20000.0,,,,dsprites_full,1.0,
80,dsprites_full,,AnnealVAE,False,0,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
81,dsprites_full,,AnnealVAE,False,1,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
82,dsprites_full,,AnnealVAE,False,2,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
83,dsprites_full,,AnnealVAE,False,3,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
84,dsprites_full,,AnnealVAE,False,4,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
85,dsprites_full,,AnnealVAE,False,5,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
86,dsprites_full,,AnnealVAE,False,6,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
87,dsprites_full,,AnnealVAE,False,7,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
88,dsprites_full,,AnnealVAE,False,8,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
89,dsprites_full,,AnnealVAE,False,9,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
90,dsprites_full,,AnnealVAE,True,0,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
91,dsprites_full,,AnnealVAE,True,1,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
92,dsprites_full,,AnnealVAE,True,2,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
93,dsprites_full,,AnnealVAE,True,3,,10.0,40000.0,30000.0,,,,dsprites_full,1.0,
